256762.671875	4091870.00
256763.125000	4091874.75
256763.437500	4091879.50
256763.703125	4091884.75
256763.953125	4091889.75
256716.687500	4091817.25
256715.359375	4091812.75
256714.000000	4091807.50
256712.718750	4091801.75
256711.406250	4091796.50
256710.078125	4091791.75
256708.703125	4091787.50
256707.609375	4091783.25
256706.406250	4091779.00
256705.187500	4091774.25
256703.875000	4091770.00
256702.484375	4091766.00
256700.984375	4091761.75
256699.437500	4091757.25
256698.062500	4091752.75
256696.921875	4091749.00
256695.921875	4091745.50
256695.000000	4091742.00
256693.968750	4091738.75
256693.140625	4091735.75
256692.062500	4091732.75
256680.312500	4091696.00
256679.500000	4091692.50
256678.734375	4091689.00
256678.234375	4091685.00
256677.609375	4091681.25
256676.984375	4091677.75
256676.359375	4091674.50
256675.531250	4091670.75
256674.640625	4091667.00
256682.187500	4091631.25
256684.953125	4091628.50
256687.390625	4091625.50
256689.765625	4091622.00
256692.187500	4091618.25
256694.250000	4091615.25
256695.843750	4091612.50
256697.171875	4091609.75
256698.593750	4091607.00
256699.687500	4091604.00
256701.062500	4091600.75
256702.671875	4091597.25
256703.875000	4091561.25
256702.968750	4091556.50
256702.031250	4091552.25
256701.093750	4091548.75
256699.937500	4091545.00
256698.500000	4091541.25
256697.265625	4091537.75
256696.000000	4091534.25
256694.562500	4091530.50
256693.093750	4091526.25
256691.859375	4091521.75
256690.703125	4091517.50
256689.671875	4091513.50
256688.703125	4091510.00
256687.609375	4091506.50
256686.343750	4091502.75
256684.828125	4091498.50
256683.421875	4091494.25
256682.203125	4091490.50
256638.015625	4091506.00
256637.265625	4091510.50
256636.109375	4091515.25
256635.031250	4091519.50
256634.343750	4091523.50
256633.843750	4091527.25
256633.312500	4091531.25
256632.812500	4091535.50
256632.562500	4091539.50
256632.250000	4091543.25
256631.859375	4091546.75
256631.250000	4091550.50
256630.500000	4091554.25
256629.796875	4091558.00
256629.125000	4091561.75
256628.281250	4091565.75
256627.296875	4091569.25
256626.187500	4091573.00
256624.906250	4091576.75
256623.671875	4091580.75
256622.421875	4091584.50
256621.093750	4091588.00
256619.750000	4091591.50
256618.812500	4091595.00
256617.890625	4091598.50
256616.671875	4091602.50
256615.218750	4091606.25
256613.671875	4091609.25
256612.109375	4091612.00
256603.984375	4091645.50
256605.140625	4091649.75
256606.843750	4091653.75
256608.421875	4091658.00
256609.921875	4091662.25
256611.375000	4091666.25
256599.656250	4091665.50
256600.406250	4091661.00
256601.187500	4091657.00
256601.859375	4091652.75
256602.406250	4091648.25
256602.984375	4091644.25
256544.937500	4091494.75
256544.640625	4091499.00
256544.328125	4091503.75
256543.734375	4091508.75
256543.281250	4091513.50
256542.687500	4091518.00
256542.234375	4091522.75
256542.015625	4091527.75
256541.687500	4091532.50
256541.203125	4091536.50
256540.890625	4091540.50
256540.937500	4091544.25
256524.250000	4091522.75
256528.156250	4091510.00
256529.578125	4091505.75
256530.859375	4091501.75
256532.015625	4091498.00
256533.484375	4091494.00
256308.765625	4091502.75
256305.984375	4091507.50
256303.468750	4091512.00
256301.312500	4091516.00
256299.531250	4091519.50
256298.140625	4091523.00
256296.953125	4091525.75
256268.187500	4091594.50
256267.453125	4091599.25
256266.843750	4091603.25
256266.484375	4091606.75
256266.234375	4091610.50
256265.671875	4091614.50
256264.859375	4091619.00
256264.078125	4091623.25
256263.421875	4091627.25
256262.562500	4091631.25
256261.953125	4091636.00
256261.312500	4091640.25
256260.359375	4091644.50
256259.296875	4091648.75
256258.250000	4091653.25
256257.312500	4091657.25
256256.500000	4091661.25
256255.593750	4091665.25
256254.796875	4091669.00
256253.984375	4091672.50
256253.296875	4091675.50
256252.765625	4091677.75
256252.640625	4091678.75
256243.984375	4091708.50
256242.921875	4091712.00
256242.234375	4091716.00
256241.734375	4091720.00
256241.140625	4091723.50
256240.562500	4091726.75
256240.031250	4091730.75
256239.656250	4091735.50
256239.187500	4091740.25
256238.531250	4091744.50
256237.750000	4091748.50
256237.093750	4091752.25
256236.734375	4091755.75
256236.250000	4091758.75
256235.281250	4091762.25
256234.281250	4091766.50
256233.250000	4091770.75
256239.250000	4091813.00
256243.468750	4091816.25
256247.343750	4091819.50
256251.078125	4091823.25
256254.875000	4091827.00
256258.453125	4091830.75
256261.656250	4091834.25
256264.562500	4091837.50
256267.593750	4091841.00
256270.843750	4091844.75
256274.328125	4091848.25
256277.828125	4091852.25
256281.140625	4091856.00
256284.234375	4091859.50
256287.390625	4091863.00
256290.531250	4091866.50
256293.593750	4091869.50
256296.453125	4091872.50
256299.265625	4091875.25
256301.921875	4091878.25
256304.437500	4091881.75
256307.109375	4091885.50
256309.812500	4091889.00
256312.359375	4091892.75
256314.890625	4091896.50
256317.375000	4091900.00
256319.703125	4091903.50
256322.171875	4091907.50
256324.984375	4091911.50
256327.625000	4091915.00
256329.796875	4091918.00
256331.359375	4091920.75
256332.765625	4091922.75
256334.031250	4091924.75
256335.484375	4091926.50
256329.796875	4091933.25
256327.234375	4091929.75
256321.984375	4091921.50
256319.140625	4091917.00
256316.531250	4091913.00
256311.343750	4091905.50
256308.531250	4091901.75
256305.671875	4091897.50
256302.953125	4091893.50
256300.296875	4091889.50
256297.562500	4091885.50
256294.828125	4091881.25
256292.312500	4091877.25
256289.859375	4091873.25
256287.203125	4091868.75
256284.484375	4091864.50
256281.671875	4091860.75
256278.609375	4091857.00
256275.312500	4091853.25
256272.015625	4091849.75
256268.640625	4091846.25
256265.218750	4091842.25
256261.781250	4091838.00
256258.531250	4091833.75
256255.218750	4091829.75
256251.531250	4091826.00
256247.437500	4091822.25
256243.031250	4091818.25
256238.703125	4091815.00
256234.406250	4091811.75
256229.968750	4091808.50
256225.593750	4091805.00
256221.562500	4091801.75
256217.609375	4091798.50
256213.718750	4091795.50
256209.781250	4091792.50
256205.703125	4091789.25
256201.640625	4091786.75
256197.593750	4091784.50
256193.359375	4091782.25
256189.000000	4091779.75
256184.671875	4091777.50
256180.421875	4091775.25
256176.156250	4091773.25
256171.843750	4091771.25
256167.484375	4091769.25
256163.000000	4091767.25
256158.718750	4091765.25
256154.453125	4091763.25
256150.031250	4091761.25
256145.437500	4091759.50
256140.781250	4091757.50
256136.078125	4091756.00
256131.484375	4091754.00
256126.906250	4091752.00
256122.484375	4091750.25
256118.406250	4091748.25
256114.484375	4091746.75
256110.406250	4091744.75
256106.437500	4091742.75
256102.781250	4091741.25
256098.890625	4091739.25
256094.359375	4091737.00
256089.437500	4091734.75
256084.593750	4091732.50
256080.218750	4091730.75
256075.968750	4091729.00
256071.671875	4091727.00
256067.468750	4091725.25
256063.609375	4091723.75
256060.218750	4091722.25
256057.250000	4091721.00
256039.562500	4091709.25
256044.671875	4091711.50
256049.968750	4091713.75
256054.781250	4091716.00
256059.312500	4091718.25
256063.859375	4091720.50
256068.328125	4091722.25
256072.625000	4091724.25
256077.046875	4091726.50
256081.656250	4091728.50
256086.281250	4091731.00
256090.546875	4091733.00
256094.531250	4091735.25
256098.500000	4091737.25
256146.640625	4091764.75
256150.656250	4091766.25
256154.812500	4091768.00
256159.171875	4091770.00
256163.453125	4091772.00
256167.468750	4091774.00
256171.531250	4091776.25
256175.687500	4091778.75
256179.687500	4091781.50
256183.500000	4091784.00
256187.453125	4091786.25
256191.281250	4091788.50
256194.859375	4091790.50
256198.078125	4091792.50
256201.359375	4091794.25
256204.812500	4091796.25
256208.671875	4091798.50
256213.015625	4091801.00
256217.765625	4091804.00
256222.359375	4091807.25
256226.687500	4091810.25
256231.031250	4091813.25
256235.171875	4091816.25
256238.984375	4091818.75
256242.515625	4091821.25
256245.890625	4091823.25
256249.437500	4091825.75
256252.781250	4091828.50
256255.609375	4091830.75
256260.906250	4091836.00
256263.406250	4091838.50
256265.750000	4091840.75
256268.109375	4091843.50
256270.921875	4091846.50
256273.796875	4091850.00
256276.609375	4091853.25
256279.593750	4091857.00
256282.890625	4091861.00
256286.140625	4091865.25
256289.093750	4091869.50
256291.750000	4091873.50
256294.187500	4091877.50
256296.828125	4091882.00
256299.625000	4091886.50
256302.468750	4091891.00
256305.265625	4091895.50
256308.031250	4091899.75
256321.046875	4091921.00
256320.359375	4091916.25
256319.796875	4091911.50
256319.312500	4091906.75
256318.812500	4091902.50
256318.390625	4091898.00
256318.093750	4091894.00
256317.578125	4091890.00
256317.062500	4091886.00
256316.421875	4091882.00
256315.921875	4091878.00
256315.921875	4091873.50
256316.109375	4091868.75
256316.453125	4091863.50
256316.718750	4091858.50
256316.875000	4091854.00
